fpr,tpr,threshold
0.0,0.0,inf
0.0,0.00980392156862745,0.999998673427232
0.0,0.0196078431372549,0.9999953311692471
0.06756756756756757,0.0196078431372549,0.9998160968794555
0.06756756756756757,0.049019607843137254,0.999778699748117
0.07432432432432433,0.049019607843137254,0.9997730678694815
0.07432432432432433,0.058823529411764705,0.9997385575049819
0.08108108108108109,0.058823529411764705,0.9994970899037464
0.08108108108108109,0.06862745098039216,0.9994730878185609
0.08783783783783784,0.06862745098039216,0.9994350850668418
0.08783783783783784,0.08823529411764706,0.9993960725346726
0.11486486486486487,0.08823529411764706,0.998152352882154
0.11486486486486487,0.11764705882352941,0.9978725880579016
0.12162162162162163,0.11764705882352941,0.9970379920385142
0.12162162162162163,0.12745098039215685,0.996764652935313
0.14864864864864866,0.12745098039215685,0.9963419301357168
0.14864864864864866,0.13725490196078433,0.9959829481958342
0.20270270270270271,0.13725490196078433,0.9909286927856014
0.20270270270270271,0.1568627450980392,0.9903739137344539
0.21621621621621623,0.1568627450980392,0.9877415723954177
0.21621621621621623,0.16666666666666666,0.9874808204541278
0.22972972972972974,0.16666666666666666,0.9852371766124152
0.22972972972972974,0.18627450980392157,0.9825266672320514
0.23648648648648649,0.18627450980392157,0.9788902149904926
0.23648648648648649,0.19607843137254902,0.9745171527515024
0.24324324324324326,0.19607843137254902,0.9710388589124318
0.24324324324324326,0.20588235294117646,0.971002643199964
0.2635135135135135,0.20588235294117646,0.9464181726385498
0.2635135135135135,0.24509803921568626,0.9241790808469637
0.3581081081081081,0.24509803921568626,0.8466414729108718
0.3581081081081081,0.2549019607843137,0.8406793934179128
0.3716216216216216,0.2549019607843137,0.8306088836232212
0.3716216216216216,0.2647058823529412,0.8244209775919841
0.39864864864864863,0.2647058823529412,0.7901570974982763
0.39864864864864863,0.27450980392156865,0.7842582828663427
0.40540540540540543,0.27450980392156865,0.7211689190334434
0.40540540540540543,0.28431372549019607,0.711105199133749
0.42567567567567566,0.28431372549019607,0.7031421729358682
0.42567567567567566,0.29411764705882354,0.6987817774522946
0.4391891891891892,0.29411764705882354,0.6793430798060588
0.4391891891891892,0.30392156862745096,0.6704857187478248
0.44594594594594594,0.30392156862745096,0.6595015486085236
0.44594594594594594,0.3137254901960784,0.622707931862432
0.46621621621621623,0.3137254901960784,0.5651337909236107
0.46621621621621623,0.3235294117647059,0.5593700387546315
0.47297297297297297,0.3235294117647059,0.5282686423656383
0.47297297297297297,0.3333333333333333,0.5211082588827636
0.49324324324324326,0.3333333333333333,0.46528224083689435
0.49324324324324326,0.35294117647058826,0.4478998064557686
0.5202702702702703,0.35294117647058826,0.37151106449712124
0.5202702702702703,0.3627450980392157,0.35403025822202405
0.5337837837837838,0.3627450980392157,0.33200625739185463
0.5337837837837838,0.39215686274509803,0.3036593993311449
0.5405405405405406,0.39215686274509803,0.2505424846830247
0.5405405405405406,0.4019607843137255,0.2325367996626974
0.5472972972972973,0.4019607843137255,0.22667655404018702
0.5472972972972973,0.4117647058823529,0.17002419540247526
0.5675675675675675,0.4117647058823529,0.13202572204425114
0.5675675675675675,0.43137254901960786,0.10057127850027436
0.581081081081081,0.43137254901960786,0.09228634550576492
0.581081081081081,0.47058823529411764,0.06711743127051903
0.5945945945945946,0.47058823529411764,0.056264598273441636
0.5945945945945946,0.49019607843137253,0.04393470490136729
0.6216216216216216,0.49019607843137253,0.033122257447268606
0.6216216216216216,0.5,0.032523057118221246
0.6283783783783784,0.5,0.03117383067545402
0.6283783783783784,0.5098039215686274,0.029432585074679916
0.6554054054054054,0.5098039215686274,0.02555221933473412
0.6554054054054054,0.5392156862745098,0.02031709523824923
0.6621621621621622,0.5392156862745098,0.018753845132695963
0.6621621621621622,0.5784313725490197,0.01612284689462847
0.6756756756756757,0.5784313725490197,0.014444371990190859
0.6756756756756757,0.5882352941176471,0.013413837880573393
0.6824324324324325,0.5882352941176471,0.012914788487033634
0.6824324324324325,0.5980392156862745,0.012007435076953352
0.6891891891891891,0.5980392156862745,0.011982568140452041
0.6891891891891891,0.6176470588235294,0.008215427377464538
0.7027027027027027,0.6176470588235294,0.007277061762435081
0.7027027027027027,0.6274509803921569,0.006394306034034194
0.7162162162162162,0.6274509803921569,0.0037956301449810965
0.7162162162162162,0.6372549019607843,0.003648659095021686
0.722972972972973,0.6372549019607843,0.0035872384442783463
0.722972972972973,0.6470588235294118,0.003508448962951554
0.7432432432432432,0.6470588235294118,0.0020402063973566672
0.7432432432432432,0.6568627450980392,0.0015337946969514811
0.777027027027027,0.6568627450980392,0.0006315297422746879
0.777027027027027,0.6764705882352942,0.0006119644811782799
0.7905405405405406,0.6764705882352942,0.0004933043520514811
0.7905405405405406,0.696078431372549,0.000410781603119815
0.7972972972972973,0.696078431372549,0.000397805063421019
0.7972972972972973,0.7156862745098039,0.00035224038409533597
0.8040540540540541,0.7156862745098039,0.00031580932957793516
0.8040540540540541,0.7549019607843137,0.00020651078532559768
0.8108108108108109,0.7549019607843137,0.00018602354291479955
0.8108108108108109,0.7745098039215687,0.0001773482924239955
0.8243243243243243,0.7745098039215687,0.0001015841564016077
0.8243243243243243,0.7941176470588235,8.230676796573848e-05
0.8513513513513513,0.7941176470588235,3.1557678251609176e-05
0.8513513513513513,0.803921568627451,2.7970678486960993e-05
0.8581081081081081,0.803921568627451,2.344719651792875e-05
0.8581081081081081,0.8137254901960784,2.3187450767164477e-05
0.8716216216216216,0.8137254901960784,1.8998283139177665e-05
0.8716216216216216,0.8431372549019608,1.3422909538487821e-05
0.9054054054054054,0.8431372549019608,5.651359498041325e-06
0.9054054054054054,0.9019607843137255,1.2912779507177794e-06
0.9121621621621622,0.9019607843137255,1.2102782934171315e-06
0.9121621621621622,0.9215686274509803,7.560972844760327e-07
0.9324324324324325,0.9215686274509803,4.305685051358049e-07
0.9324324324324325,0.9411764705882353,1.4918266165326414e-07
0.9459459459459459,0.9411764705882353,7.605329278594416e-08
0.9459459459459459,0.9509803921568627,6.793350688283347e-08
0.972972972972973,0.9509803921568627,8.326070804372638e-09
0.972972972972973,0.9607843137254902,5.374872495115132e-09
1.0,0.9607843137254902,5.916688036186569e-11
1.0,1.0,5.466180850436049e-13
